Entrez,GeneSymb,coef
25975,EGFL6,0.12062373289201267
7305,TYROBP,0.09206069616445273
1880,GPR183,0.09110863698962919
4069,LYZ,0.07816856531824683
563,AZGP1,-0.07764041714799627
7076,TIMP1,0.0738161202510072
761,CA3,-0.07257404181736107
8076,MFAP5,0.07091594231489005
3512,JCHAIN,0.06688488167678176
80763,SPX,-0.06641862729239452
64102,TNMD,0.06505262665985286
713,C1QB,0.06072354935453758
84803,GPAT3,-0.05975689595961768
3936,LCP1,0.05951934139915786
1520,CTSS,0.05895665013033238
2162,F13A1,0.05869541053998906
4318,MMP9,0.05585307554377774
6696,SPP1,0.054813508315454874
11001,SLC27A2,-0.05319338228086337
219972,MPEG1,0.05310956877886643
54504,CPVL,0.05297993180220166
1043,CD52,0.052455651507914376
6424,SFRP4,0.0522809447849366
11075,STMN2,0.05144188602860676
1116,CHI3L1,0.05056391445261394
929,CD14,0.05026801874239845
2014,EMP3,0.05019136678039987
5803,PTPRZ1,0.05007351687155925
1490,CTGF,0.049898930447596294
714,C1QC,0.04916316071254844
11326,VSIG4,0.048370906840586946
4332,MNDA,0.0482357960933145
6355,CCL8,0.047480651763976235
1959,EGR2,0.04725197819588586
4360,MRC1,0.047194501217909385
25878,MXRA5,0.0460556428713738
2207,FCER1G,0.046044512005217766
83483,PLVAP,0.04509075208400432
6351,CCL4,0.044868066109774896
85477,SCIN,0.04481026484336764
7107,GPR137B,0.04459785763625392
3290,HSD11B1,0.04429291106471052
10170,DHRS9,0.044280443448865815
397,ARHGDIB,0.04398660373980784
3576,CXCL8,0.04394977822469235
7941,PLA2G7,0.04337057084060052
3689,ITGB2,0.043302700822928926
10894,LYVE1,0.0429735433056141
2246,FGF1,0.04292413881462909
712,C1QA,0.04290792737754006
2124,EVI2B,0.042643760224184896
64231,MS4A6A,0.042641014439003116
4982,TNFRSF11B,0.04259112702032075
8839,WISP2,0.042058180198101446
1292,???,0.0419236041394943
5552,SRGN,0.04124462610447728
1890,TYMP,0.04118049839401421
65009,NDRG4,-0.04110865852491917
5318,PKP2,-0.041107072683350475
80114,BICC1,0.04109848923707213
4854,NOTCH3,0.040933070605955024
2920,CXCL2,0.04077918087865193
9770,RASSF2,0.0407304732986691
115908,CTHRC1,0.04064581226018191
28959,TMEM176B,0.04053704780082883
